,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
161,0.324,3.651737,3.338177,0.327249499,-0.18073613
162,0.326,3.826369,3.376155,0.326275724,0.19449153
163,0.328,3.956208,3.409588,0.323678991,0.556735883
164,0.33,4.039629,3.435556,0.321731441,0.863799938
165,0.332,4.085397,3.451786,0.322056032,1.076083
166,0.334,4.046446,3.455356,0.323678991,1.167294
167,0.336,3.967569,3.444969,0.324652766,1.127369
168,0.338,3.830264,3.421598,0.325626541,0.961826789
169,0.34,3.65336,3.390113,0.327574091,0.688844802
170,0.342,3.466068,3.353109,0.331144599,0.343154491
171,0.344,3.307016,3.316429,0.333741333,-0.03207331
172,0.346,3.16387,3.28397,0.334715108,-0.390422028
173,0.348,3.072334,3.257678,0.334715108,-0.689370332
174,0.35,3.05156,3.242422,0.336338066,-0.893213371
175,0.352,3.084344,3.240799,0.336338066,-0.975334828
176,0.354,3.164194,3.250861,0.334065924,-0.926970809
177,0.356,3.314157,3.275206,0.331144599,-0.753314733
178,0.358,3.491062,3.306367,0.329197049,-0.475464887
179,0.36,3.67738,3.343046,0.328223274,-0.128152344
180,0.362,3.838704,3.379725,0.324977357,0.24804914
181,0.364,3.976333,3.414782,0.322380624,0.60574926
182,0.366,4.072738,3.439126,0.322056032,0.900803448
183,0.368,4.087669,3.453409,0.323354399,1.096208
184,0.37,4.041252,3.454382,0.323354399,1.169891
185,0.372,3.949067,3.441399,0.324003582,1.111788
186,0.374,3.802674,3.417054,0.325951132,0.928393787
187,0.376,3.623497,3.384919,0.329521641,0.642752741
188,0.378,3.44432,3.348564,0.331144599,0.290570642
189,0.38,3.285917,3.311236,0.333092149,-0.085630882
190,0.382,3.149587,3.278776,0.334715108,-0.438136917
191,0.384,3.068114,3.254107,0.336662658,-0.72539992
192,0.386,3.044419,3.241772,0.336662658,-0.912039635
193,0.388,3.097977,3.241772,0.334390516,-0.9763086
194,0.39,3.203795,3.255081,0.332767558,-0.909118318
195,0.392,3.337203,3.279101,0.331793783,-0.718908102
196,0.394,3.517354,3.310911,0.329846232,-0.429048367
197,0.396,3.700751,3.348564,0.326275724,-0.075568551
198,0.398,3.866619,3.386217,0.324003582,0.301282166
199,0.4,3.988667,3.418028,0.323678991,0.6524905
