Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
10.098,50,-.9663,-1.1174
10.131,50,-.989,-1.1713
10.164,50,-.9653,-1.1787
10.197,50,-.9741,-1.1162
10.23,50,-.9611,-1.2083
10.263,50,-.9436,-1.0701
10.296,50,-.9394,-1.229
10.329,50,-1.0179,-1.1956
10.362,50,-.9436,-1.2319
10.395,50,-.954,-1.207
10.428,50,-.988,-1.2423
10.461,50,-.9225,-1.2725
10.494,50,-.99,-1.2242
10.527,50,-.9491,-1.2413
10.56,50,-.9777,-1.2738
10.593,50,-.9598,-1.2446
10.626,50,-.9339,-1.2381
10.659,50,-.9731,-1.2267
10.692,50,-.9352,-1.2653
10.725,50,-.9443,-1.217
10.758,50,-.9391,-1.1888
10.791,50,-1.0026,-1.2297
10.824,50,-.9764,-1.1924
10.857,50,-.953,-1.217
10.89,50,-.954,-1.2063
10.923,50,-1.0043,-1.2527
10.956,50,-.9588,-1.2199
10.989,50,-.9358,-1.2242
11.022,50,-.9897,-1.1995
11.055,50,-.9961,-1.2047
11.088,50,-.9517,-1.2063
11.121,50,-.9537,-1.1895
11.154,50,-.9871,-1.2559
11.187,50,-.9841,-1.1882
11.22,50,-.9611,-1.2131
11.253,50,-.9936,-1.1917
11.286,50,-.9997,-1.241
11.319,50,-.9608,-1.2109
11.352,50,-.9563,-1.1775
11.385,50,-.976,-1.2313
11.418,50,-1.0007,-1.1791
11.451,50,-.9394,-1.2024
11.484,50,-.9841,-1.1616
11.517,50,-.9903,-1.2495
11.55,50,-.9712,-1.2167
11.583,50,-.9705,-1.1959
11.616,50,-.9845,-1.2141
11.649,50,-.9689,-1.2666
11.682,50,-.9929,-1.1976
11.715,50,-.9371,-1.2024
11.748,50,-.9819,-1.2384
11.781,50,-.9848,-1.1849
11.814,50,-.9715,-1.192
11.847,50,-.9773,-1.1807
11.88,50,-1.0056,-1.2199
11.913,50,-.9923,-1.183
11.946,50,-.9644,-1.1995
11.979,50,-1.0043,-1.1856
12.012,50,-.9647,-1.2316
12.045,50,-.9644,-1.181
12.078,50,-.9423,-1.1862
12.111,50,-.9773,-1.2371
12.144,50,-.977,-1.1966
12.177,50,-.9744,-1.1901
12.21,50,-.9663,-1.1852
12.243,50,-.9893,-1.2264
12.276,50,-.9653,-1.1823
12.309,50,-.9553,-1.1998
12.342,50,-1.0065,-1.2186
12.375,50,-.9965,-1.2066
12.408,50,-.9459,-1.2053
12.441,50,-.9699,-1.192
12.474,50,-.9987,-1.2381
12.507,50,-.9734,-1.2034
12.54,50,-.9465,-1.2177
12.573,50,-.979,-1.204
12.606,50,-.9958,-1.2251
12.639,50,-.976,-1.2034
12.672,50,-.9705,-1.1713
12.705,50,-.9864,-1.2362
12.738,50,-.9929,-1.2024
12.771,50,-.9634,-1.1998
12.804,50,-.964,-1.1765
12.837,50,-1.0146,-1.2203
12.87,50,-.991,-1.1813
12.903,50,-.952,-1.2105
12.936,50,-.9679,-1.2008
12.969,50,-.9816,-1.2352
13.002,50,-.9498,-1.2147
13.035,50,-.9718,-1.1522
13.068,50,-1.0101,-1.2044
13.101,50,-.9559,-1.2349
13.134,50,-.9945,-1.1667
13.167,50,-.9332,-1.2147
13.2,50,-1.0111,-1.2271
13.233,50,-.9783,-1.2203
13.266,50,-.9712,-1.1875
13.299,50,-.9854,-1.2021
13.332,50,-1.0098,-1.2355
13.365,50,-.9861,-1.1826
13.398,50,-.9799,-1.1609
13.431,50,-.9965,-1.2352
13.464,50,-.9676,-1.2138
13.497,50,-.9647,-1.1907
